reltime,datetime,iSensor,confidence,heart_rate
44.27,2024/06/13 11:30:54.7899,3,1.0,65.0
44.312,2024/06/13 11:30:54.8319,5,1.0,63.0
44.516,2024/06/13 11:30:55.0359,3,1.0,65.0
44.557,2024/06/13 11:30:55.0769,5,1.0,63.0
44.763,2024/06/13 11:30:55.2829,3,1.0,65.0
44.804,2024/06/13 11:30:55.3239,5,1.0,63.0
45.009,2024/06/13 11:30:55.5289,3,1.0,65.0
45.05,2024/06/13 11:30:55.5699,5,1.0,63.0
45.256,2024/06/13 11:30:55.7759,3,1.0,65.0
45.502,2024/06/13 11:30:56.0219,3,1.0,65.0
45.543,2024/06/13 11:30:56.0629,5,1.0,63.0
45.748,2024/06/13 11:30:56.2679,3,1.0,65.0
45.789,2024/06/13 11:30:56.3089,5,1.0,63.0
45.994,2024/06/13 11:30:56.5139,3,1.0,65.0
46.241,2024/06/13 11:30:56.7609,3,1.0,65.0
46.281,2024/06/13 11:30:56.8009,5,1.0,63.0
46.527,2024/06/13 11:30:57.0469,5,1.0,63.0
46.733,2024/06/13 11:30:57.2529,3,1.0,65.0
46.774,2024/06/13 11:30:57.2939,5,1.0,63.0
46.98,2024/06/13 11:30:57.4999,3,1.0,65.0
47.02,2024/06/13 11:30:57.5399,5,1.0,63.0
47.225,2024/06/13 11:30:57.7449,3,1.0,65.0
47.267,2024/06/13 11:30:57.7869,5,1.0,63.0
47.472,2024/06/13 11:30:57.9919,3,1.0,65.0
47.513,2024/06/13 11:30:58.0329,5,1.0,63.0
47.718,2024/06/13 11:30:58.2379,3,1.0,65.0
47.759,2024/06/13 11:30:58.2789,5,1.0,63.0
47.964,2024/06/13 11:30:58.4839,3,1.0,64.0
48.006,2024/06/13 11:30:58.5259,5,1.0,63.0
48.211,2024/06/13 11:30:58.7309,3,1.0,64.0
48.252,2024/06/13 11:30:58.7719,5,1.0,63.0
48.46,2024/06/13 11:30:58.9799,3,1.0,64.0
48.498,2024/06/13 11:30:59.0179,5,1.0,63.0
