reltime,datetime,iSensor,ibi
133.956,2024/06/13 11:32:24.4759,5,1000
134.159,2024/06/13 11:32:24.6789,3,920
134.202,2024/06/13 11:32:24.7219,5,1000
134.448,2024/06/13 11:32:24.9679,5,1000
134.694,2024/06/13 11:32:25.2139,5,1000
134.94,2024/06/13 11:32:25.4599,5,1000
135.144,2024/06/13 11:32:25.6639,3,901
135.187,2024/06/13 11:32:25.7069,5,1000
135.433,2024/06/13 11:32:25.9529,5,1000
135.679,2024/06/13 11:32:26.1989,5,1000
135.926,2024/06/13 11:32:26.4459,5,1000
136.172,2024/06/13 11:32:26.6919,5,1000
136.376,2024/06/13 11:32:26.8959,3,1026
136.418,2024/06/13 11:32:26.9379,5,1000
